"X","Number.of.Homicide.Convictions","Percentage.of.Homicide.Convictions","Number.of.Homicide.Unsuccessful","Percentage.of.Homicide.Unsuccessful","Number.of.Offences.Against.The.Person.Convictions","Percentage.of.Offences.Against.The.Person.Convictions","Number.of.Offences.Against.The.Person.Unsuccessful","Percentage.of.Offences.Against.The.Person.Unsuccessful","Number.of.Sexual.Offences.Convictions","Percentage.of.Sexual.Offences.Convictions","Number.of.Sexual.Offences.Unsuccessful","Percentage.of.Sexual.Offences.Unsuccessful","Number.of.Burglary.Convictions","Percentage.of.Burglary.Convictions","Number.of.Burglary.Unsuccessful","Percentage.of.Burglary.Unsuccessful","Number.of.Robbery.Convictions","Percentage.of.Robbery.Convictions","Number.of.Robbery.Unsuccessful","Percentage.of.Robbery.Unsuccessful","Number.of.Theft.And.Handling.Convictions","Percentage.of.Theft.And.Handling.Convictions","Number.of.Theft.And.Handling.Unsuccessful","Percentage.of.Theft.And.Handling.Unsuccessful","Number.of.Fraud.And.Forgery.Convictions","Percentage.of.Fraud.And.Forgery.Convictions","Number.of.Fraud.And.Forgery.Unsuccessful","Percentage.of.Fraud.And.Forgery.Unsuccessful","Number.of.Criminal.Damage.Convictions","Percentage.of.Criminal.Damage.Convictions","Number.of.Criminal.Damage.Unsuccessful","Percentage.of.Criminal.Damage.Unsuccessful","Number.of.Drugs.Offences.Convictions","Percentage.of.Drugs.Offences.Convictions","Number.of.Drugs.Offences.Unsuccessful","Percentage.of.Drugs.Offences.Unsuccessful","Number.of.Public.Order.Offences.Convictions","Percentage.of.Public.Order.Offences.Convictions","Number.of.Public.Order.Offences.Unsuccessful","Percentage.of.Public.Order.Offences.Unsuccessful","Number.of.All.Other.Offences..excluding.Motoring..Convictions","Percentage.of.All.Other.Offences..excluding.Motoring..Convictions","Number.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Percentage.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Number.of.Motoring.Offences.Convictions","Percentage.of.Motoring.Offences.Convictions","Number.of.Motoring.Offences.Unsuccessful","Percentage.of.Motoring.Offences.Unsuccessful","Number.of.Admin.Finalised.Unsuccessful","Percentage.of.L.Motoring.Offences.Unsuccessful","year","month"
"Thames Valley",11,"91.7%",1,"8.3%","289","75.7%","93","24.3%","40","75.5%",13,"24.5%","26","86.7%",4,"13.3%",12,"70.6%",5,"29.4%","164","91.1%","16","8.9%","22","100.0%",0,"0.0%","33","80.5%",8,"19.5%","110","85.9%",18,"14.1%","82","82.0%",18,"18.0%","19","95.0%",1,"5.0%","161","92.5%","13","7.5%","27","100.0%","2015","december"
"Warwickshire",0,"-",0,"-","79","84.0%","15","16.0%","12","92.3%",1,"7.7%","8","72.7%",3,"27.3%",0,"0",0,"0","76","92.7%","6","7.3%","2","66.7%",1,"33.3%","9","75.0%",3,"25.0%","33","100.0%",0,"0.0%","18","90.0%",2,"10.0%","7","77.8%",2,"22.2%","89","89.0%","11","11.0%","7","100.0%","2015","december"
"West Mercia",1,"100.0%",0,"0.0%","216","80.6%","52","19.4%","26","74.3%",9,"25.7%","11","84.6%",2,"15.4%",4,"80.0%",1,"20.0%","137","94.5%","8","5.5%","18","90.0%",2,"10.0%","48","92.3%",4,"7.7%","49","89.1%",6,"10.9%","49","84.5%",9,"15.5%","19","100.0%",0,"0.0%","191","83.0%","39","17.0%","7","100.0%","2015","december"
"West Midlands",6,"85.7%",1,"14.3%","697","80.9%","165","19.1%","77","85.6%",13,"14.4%","61","82.4%",13,"17.6%",45,"76.3%",14,"23.7%","692","95.2%","35","4.8%","81","89.0%",10,"11.0%","123","91.1%",12,"8.9%","230","96.2%",9,"3.8%","230","83.3%",46,"16.7%","54","77.1%",16,"22.9%","349","86.8%","53","13.2%","55","100.0%","2015","december"
"West Yorkshire",4,"66.7%",2,"33.3%","564","81.0%","132","19.0%","61","72.6%",23,"27.4%","75","88.2%",10,"11.8%",30,"85.7%",5,"14.3%","290","92.7%","23","7.3%","21","72.4%",8,"27.6%","109","87.9%",15,"12.1%","143","94.7%",8,"5.3%","98","83.1%",20,"16.9%","24","80.0%",6,"20.0%","223","88.1%","30","11.9%","33","100.0%","2015","december"
"Wiltshire",1,"100.0%",0,"0.0%","114","86.4%","18","13.6%","6","75.0%",2,"25.0%","9","90.0%",1,"10.0%",0,"0",0,"0","94","92.2%","8","7.8%","3","42.9%",4,"57.1%","23","100.0%",0,"0.0%","32","100.0%",0,"0.0%","27","87.1%",4,"12.9%","8","100.0%",0,"0.0%","60","96.8%","2","3.2%","9","100.0%","2015","december"
"National",51,"86.4%",8,"13.6%","9,394","75.3%","3,074","24.7%","816","69.6%",356,"30.4%","1,494","83.5%",296,"16.5%",494,"79.8%",125,"20.2%","9,788","92.1%","841","7.9%","778","86.0%",127,"14.0%","2,321","84.5%",426,"15.5%","4,352","94.4%",256,"5.6%","3,927","84.9%",696,"15.1%","1,820","81.3%",418,"18.7%","7,844","84.9%","1,396","15.1%","735","100.0%","2015","february"
"Avon and Somerset",0,"-",0,"-","264","80.5%","64","19.5%","36","70.6%",15,"29.4%","39","84.8%",7,"15.2%",21,"95.5%",1,"4.5%","273","95.8%","12","4.2%","9","60.0%",6,"40.0%","64","82.1%",14,"17.9%","97","91.5%",9,"8.5%","75","84.3%",14,"15.7%","61","79.2%",16,"20.8%","223","76.4%","69","23.6%","54","100.0%","2015","february"
"Bedfordshire",0,"-",0,"-","84","75.0%","28","25.0%","4","100.0%",0,"0.0%","9","90.0%",1,"10.0%",8,"88.9%",1,"11.1%","70","90.9%","7","9.1%","5","100.0%",0,"0.0%","20","90.9%",2,"9.1%","38","95.0%",2,"5.0%","25","86.2%",4,"13.8%","17","100.0%",0,"0.0%","63","87.5%","9","12.5%","22","100.0%","2015","february"
"Cambridgeshire",1,"100.0%",0,"0.0%","125","79.6%","32","20.4%","14","93.3%",1,"6.7%","15","100.0%",0,"0.0%",8,"66.7%",4,"33.3%","108","92.3%","9","7.7%","5","100.0%",0,"0.0%","20","76.9%",6,"23.1%","56","100.0%",0,"0.0%","46","90.2%",5,"9.8%","3","33.3%",6,"66.7%","84","87.5%","12","12.5%","33","100.0%","2015","february"
"Cheshire",1,"100.0%",0,"0.0%","197","90.0%","22","10.0%","11","84.6%",2,"15.4%","31","93.9%",2,"6.1%",6,"100.0%",0,"0.0%","203","93.1%","15","6.9%","10","90.9%",1,"9.1%","35","85.4%",6,"14.6%","86","92.5%",7,"7.5%","95","91.3%",9,"8.7%","39","95.1%",2,"4.9%","164","91.1%","16","8.9%","14","100.0%","2015","february"
"Cleveland",0,"-",0,"-","126","76.8%","38","23.2%","10","62.5%",6,"37.5%","35","89.7%",4,"10.3%",7,"87.5%",1,"12.5%","273","92.5%","22","7.5%","8","100.0%",0,"0.0%","53","88.3%",7,"11.7%","64","95.5%",3,"4.5%","79","79.0%",21,"21.0%","13","86.7%",2,"13.3%","63","95.5%","3","4.5%","5","100.0%","2015","february"
"Cumbria",0,"-",0,"-","109","87.9%","15","12.1%","2","50.0%",2,"50.0%","10","100.0%",0,"0.0%",2,"33.3%",4,"66.7%","105","95.5%","5","4.5%","4","50.0%",4,"50.0%","27","93.1%",2,"6.9%","39","100.0%",0,"0.0%","71","93.4%",5,"6.6%","31","83.8%",6,"16.2%","93","90.3%","10","9.7%","1","100.0%","2015","february"
"Derbyshire",1,"100.0%",0,"0.0%","163","75.1%","54","24.9%","12","75.0%",4,"25.0%","19","79.2%",5,"20.8%",12,"100.0%",0,"0.0%","218","92.0%","19","8.0%","13","92.9%",1,"7.1%","52","86.7%",8,"13.3%","82","94.3%",5,"5.7%","63","85.1%",11,"14.9%","43","78.2%",12,"21.8%","133","88.1%","18","11.9%","18","100.0%","2015","february"
"Devon and Cornwall",0,"0.0%",1,"100.0%","150","69.8%","65","30.2%","13","92.9%",1,"7.1%","15","88.2%",2,"11.8%",1,"100.0%",0,"0.0%","144","93.5%","10","6.5%","6","85.7%",1,"14.3%","50","78.1%",14,"21.9%","59","92.2%",5,"7.8%","43","89.6%",5,"10.4%","52","80.0%",13,"20.0%","174","86.6%","27","13.4%","26","100.0%","2015","february"
"Dorset",0,"-",0,"-","85","73.3%","31","26.7%","6","54.5%",5,"45.5%","6","60.0%",4,"40.0%",2,"66.7%",1,"33.3%","93","90.3%","10","9.7%","3","100.0%",0,"0.0%","27","87.1%",4,"12.9%","29","100.0%",0,"0.0%","34","79.1%",9,"20.9%","5","83.3%",1,"16.7%","82","91.1%","8","8.9%","10","100.0%","2015","february"
"Durham",0,"-",0,"-","106","73.6%","38","26.4%","7","50.0%",7,"50.0%","16","66.7%",8,"33.3%",5,"100.0%",0,"0.0%","139","87.4%","20","12.6%","6","85.7%",1,"14.3%","47","79.7%",12,"20.3%","21","84.0%",4,"16.0%","52","88.1%",7,"11.9%","6","54.5%",5,"45.5%","73","92.4%","6","7.6%","1","100.0%","2015","february"
"Dyfed Powys",0,"-",0,"-","62","66.0%","32","34.0%","4","80.0%",1,"20.0%","2","66.7%",1,"33.3%",0,"0",0,"0","47","94.0%","3","6.0%","3","100.0%",0,"0.0%","30","88.2%",4,"11.8%","78","96.3%",3,"3.7%","26","78.8%",7,"21.2%","1","50.0%",1,"50.0%","61","80.3%","15","19.7%","2","100.0%","2015","february"
"Essex",1,"100.0%",0,"0.0%","346","81.4%","79","18.6%","27","56.3%",21,"43.8%","42","91.3%",4,"8.7%",8,"72.7%",3,"27.3%","246","91.8%","22","8.2%","19","90.5%",2,"9.5%","53","81.5%",12,"18.5%","89","97.8%",2,"2.2%","52","81.3%",12,"18.8%","45","95.7%",2,"4.3%","190","88.8%","24","11.2%","12","100.0%","2015","february"
"Gloucestershire",2,"100.0%",0,"0.0%","56","72.7%","21","27.3%","6","75.0%",2,"25.0%","14","82.4%",3,"17.6%",9,"100.0%",0,"0.0%","100","91.7%","9","8.3%","16","69.6%",7,"30.4%","10","83.3%",2,"16.7%","35","94.6%",2,"5.4%","14","63.6%",8,"36.4%","23","79.3%",6,"20.7%","72","90.0%","8","10.0%","20","100.0%","2015","february"
"GreaterManchester",3,"100.0%",0,"0.0%","624","81.0%","146","19.0%","45","64.3%",25,"35.7%","99","87.6%",14,"12.4%",38,"90.5%",4,"9.5%","500","95.4%","24","4.6%","39","86.7%",6,"13.3%","143","87.7%",20,"12.3%","201","93.1%",15,"6.9%","250","88.0%",34,"12.0%","45","76.3%",14,"23.7%","400","85.7%","67","14.3%","26","100.0%","2015","february"
"Gwent",1,"50.0%",1,"50.0%","83","79.0%","22","21.0%","8","88.9%",1,"11.1%","23","92.0%",2,"8.0%",8,"80.0%",2,"20.0%","151","95.0%","8","5.0%","4","80.0%",1,"20.0%","40","83.3%",8,"16.7%","68","94.4%",4,"5.6%","68","85.0%",12,"15.0%","9","75.0%",3,"25.0%","70","85.4%","12","14.6%","4","100.0%","2015","february"
"Hampshire",1,"100.0%",0,"0.0%","312","74.1%","109","25.9%","44","71.0%",18,"29.0%","41","83.7%",8,"16.3%",5,"71.4%",2,"28.6%","295","91.6%","27","8.4%","13","81.3%",3,"18.8%","59","83.1%",12,"16.9%","121","93.1%",9,"6.9%","112","84.8%",20,"15.2%","17","58.6%",12,"41.4%","208","86.3%","33","13.7%","18","100.0%","2015","february"
"Hertfordshire",0,"-",0,"-","161","73.2%","59","26.8%","4","66.7%",2,"33.3%","21","77.8%",6,"22.2%",5,"83.3%",1,"16.7%","156","90.2%","17","9.8%","9","90.0%",1,"10.0%","29","87.9%",4,"12.1%","68","91.9%",6,"8.1%","47","83.9%",9,"16.1%","15","93.8%",1,"6.3%","123","84.8%","22","15.2%","13","100.0%","2015","february"
"Humberside",0,"0.0%",1,"100.0%","157","77.0%","47","23.0%","30","81.1%",7,"18.9%","29","87.9%",4,"12.1%",7,"100.0%",0,"0.0%","201","91.8%","18","8.2%","15","83.3%",3,"16.7%","47","88.7%",6,"11.3%","63","94.0%",4,"6.0%","69","87.3%",10,"12.7%","26","81.3%",6,"18.8%","110","83.3%","22","16.7%","10","100.0%","2015","february"
"Kent",1,"100.0%",0,"0.0%","199","73.7%","71","26.3%","21","63.6%",12,"36.4%","39","78.0%",11,"22.0%",11,"78.6%",3,"21.4%","274","88.1%","37","11.9%","25","80.6%",6,"19.4%","67","81.7%",15,"18.3%","83","94.3%",5,"5.7%","87","82.1%",19,"17.9%","68","82.9%",14,"17.1%","190","88.8%","24","11.2%","23","100.0%","2015","february"
"Lancashire",1,"50.0%",1,"50.0%","265","77.5%","77","22.5%","31","73.8%",11,"26.2%","64","85.3%",11,"14.7%",23,"85.2%",4,"14.8%","277","94.2%","17","5.8%","15","83.3%",3,"16.7%","81","82.7%",17,"17.3%","98","93.3%",7,"6.7%","175","92.6%",14,"7.4%","116","89.2%",14,"10.8%","264","85.2%","46","14.8%","12","100.0%","2015","february"
"Leicestershire",0,"-",0,"-","173","79.4%","45","20.6%","15","93.8%",1,"6.3%","22","88.0%",3,"12.0%",4,"66.7%",2,"33.3%","164","95.9%","7","4.1%","12","85.7%",2,"14.3%","41","85.4%",7,"14.6%","39","100.0%",0,"0.0%","68","90.7%",7,"9.3%","17","89.5%",2,"10.5%","116","88.5%","15","11.5%","23","100.0%","2015","february"
"Lincolnshire",3,"100.0%",0,"0.0%","97","80.2%","24","19.8%","10","76.9%",3,"23.1%","11","68.8%",5,"31.3%",3,"75.0%",1,"25.0%","103","91.2%","10","8.8%","12","92.3%",1,"7.7%","23","88.5%",3,"11.5%","27","100.0%",0,"0.0%","50","84.7%",9,"15.3%","19","76.0%",6,"24.0%","124","80.5%","30","19.5%","14","100.0%","2015","february"
"Merseyside",2,"100.0%",0,"0.0%","285","76.2%","89","23.8%","32","65.3%",17,"34.7%","39","88.6%",5,"11.4%",15,"78.9%",4,"21.1%","292","94.5%","17","5.5%","31","96.9%",1,"3.1%","76","92.7%",6,"7.3%","264","93.3%",19,"6.7%","153","86.4%",24,"13.6%","81","83.5%",16,"16.5%","191","91.0%","19","9.0%","19","100.0%","2015","february"
"Metropolitan and City",14,"93.3%",1,"6.7%","1,327","68.1%","621","31.9%","109","60.6%",71,"39.4%","278","81.0%",65,"19.0%",140,"79.1%",37,"20.9%","1,220","90.0%","135","10.0%","225","87.2%",33,"12.8%","314","84.6%",57,"15.4%","1,025","94.6%",58,"5.4%","588","82.6%",124,"17.4%","483","80.9%",114,"19.1%","1,231","78.3%","341","21.7%","148","100.0%","2015","february"
"Norfolk",0,"-",0,"-","149","71.3%","60","28.7%","13","86.7%",2,"13.3%","15","71.4%",6,"28.6%",1,"33.3%",2,"66.7%","143","93.5%","10","6.5%","14","87.5%",2,"12.5%","46","80.7%",11,"19.3%","74","96.1%",3,"3.9%","90","91.8%",8,"8.2%","18","85.7%",3,"14.3%","89","82.4%","19","17.6%","14","100.0%","2015","february"
"Northamptonshire",0,"-",0,"-","105","79.5%","27","20.5%","10","76.9%",3,"23.1%","13","61.9%",8,"38.1%",0,"0",0,"0","99","90.8%","10","9.2%","6","75.0%",2,"25.0%","27","79.4%",7,"20.6%","39","97.5%",1,"2.5%","30","76.9%",9,"23.1%","15","78.9%",4,"21.1%","121","90.3%","13","9.7%","11","100.0%","2015","february"
"Northumbria",1,"100.0%",0,"0.0%","282","75.4%","92","24.6%","13","72.2%",5,"27.8%","64","83.1%",13,"16.9%",13,"72.2%",5,"27.8%","422","89.8%","48","10.2%","23","88.5%",3,"11.5%","77","75.5%",25,"24.5%","76","88.4%",10,"11.6%","197","73.2%",72,"26.8%","59","84.3%",11,"15.7%","219","81.1%","51","18.9%","6","100.0%","2015","february"
"North Wales",1,"100.0%",0,"0.0%","161","81.3%","37","18.7%","16","69.6%",7,"30.4%","22","88.0%",3,"12.0%",3,"75.0%",1,"25.0%","139","95.2%","7","4.8%","7","100.0%",0,"0.0%","45","81.8%",10,"18.2%","59","92.2%",5,"7.8%","65","95.6%",3,"4.4%","12","80.0%",3,"20.0%","78","87.6%","11","12.4%","2","100.0%","2015","february"
"North Yorkshire",1,"100.0%",0,"0.0%","102","76.7%","31","23.3%","9","100.0%",0,"0.0%","22","95.7%",1,"4.3%",3,"100.0%",0,"0.0%","144","96.0%","6","4.0%","7","87.5%",1,"12.5%","34","89.5%",4,"10.5%","35","97.2%",1,"2.8%","64","90.1%",7,"9.9%","28","77.8%",8,"22.2%","112","88.9%","14","11.1%","12","100.0%","2015","february"
"Nottinghamshire",1,"100.0%",0,"0.0%","233","75.6%","75","24.4%","18","85.7%",3,"14.3%","23","62.2%",14,"37.8%",9,"69.2%",4,"30.8%","273","89.8%","31","10.2%","17","85.0%",3,"15.0%","63","76.8%",19,"23.2%","123","97.6%",3,"2.4%","78","87.6%",11,"12.4%","51","83.6%",10,"16.4%","172","87.3%","25","12.7%","16","100.0%","2015","february"
"South Wales",1,"100.0%",0,"0.0%","339","74.2%","118","25.8%","26","66.7%",13,"33.3%","44","86.3%",7,"13.7%",12,"92.3%",1,"7.7%","300","94.0%","19","6.0%","17","94.4%",1,"5.6%","69","85.2%",12,"14.8%","169","96.0%",7,"4.0%","167","86.5%",26,"13.5%","14","93.3%",1,"6.7%","643","89.3%","77","10.7%","13","100.0%","2015","february"
"South Yorkshire",5,"100.0%",0,"0.0%","227","77.5%","66","22.5%","9","100.0%",0,"0.0%","49","96.1%",2,"3.9%",10,"62.5%",6,"37.5%","283","90.4%","30","9.6%","11","91.7%",1,"8.3%","64","84.2%",12,"15.8%","87","93.5%",6,"6.5%","99","85.3%",17,"14.7%","24","75.0%",8,"25.0%","141","88.7%","18","11.3%","15","100.0%","2015","february"
"Staffordshire",0,"-",0,"-","157","74.4%","54","25.6%","10","66.7%",5,"33.3%","31","86.1%",5,"13.9%",7,"77.8%",2,"22.2%","196","90.3%","21","9.7%","14","93.3%",1,"6.7%","40","75.5%",13,"24.5%","66","95.7%",3,"4.3%","75","87.2%",11,"12.8%","21","80.8%",5,"19.2%","186","79.5%","48","20.5%","9","100.0%","2015","february"
"Suffolk",0,"0.0%",1,"100.0%","110","79.7%","28","20.3%","6","85.7%",1,"14.3%","9","75.0%",3,"25.0%",2,"40.0%",3,"60.0%","135","95.7%","6","4.3%","8","100.0%",0,"0.0%","42","95.5%",2,"4.5%","66","100.0%",0,"0.0%","66","90.4%",7,"9.6%","9","90.0%",1,"10.0%","87","79.8%","22","20.2%","4","100.0%","2015","february"
"Surrey",0,"-",0,"-","111","67.7%","53","32.3%","10","66.7%",5,"33.3%","16","100.0%",0,"0.0%",1,"100.0%",0,"0.0%","83","86.5%","13","13.5%","11","91.7%",1,"8.3%","20","76.9%",6,"23.1%","67","94.4%",4,"5.6%","41","71.9%",16,"28.1%","32","76.2%",10,"23.8%","132","85.7%","22","14.3%","12","100.0%","2015","february"
"Sussex",0,"-",0,"-","261","75.7%","84","24.3%","25","64.1%",14,"35.9%","34","81.0%",8,"19.0%",2,"100.0%",0,"0.0%","241","92.0%","21","8.0%","23","85.2%",4,"14.8%","60","87.0%",9,"13.0%","97","89.8%",11,"10.2%","89","80.2%",22,"19.8%","40","74.1%",14,"25.9%","225","90.0%","25","10.0%","15","100.0%","2015","february"
"Thames Valley",3,"100.0%",0,"0.0%","300","68.0%","141","32.0%","35","68.6%",16,"31.4%","40","80.0%",10,"20.0%",11,"64.7%",6,"35.3%","330","92.4%","27","7.6%","32","91.4%",3,"8.6%","62","86.1%",10,"13.9%","133","95.7%",6,"4.3%","121","87.1%",18,"12.9%","34","70.8%",14,"29.2%","235","85.8%","39","14.2%","21","100.0%","2015","february"
"Warwickshire",2,"100.0%",0,"0.0%","60","78.9%","16","21.1%","10","90.9%",1,"9.1%","7","100.0%",0,"0.0%",5,"62.5%",3,"37.5%","65","97.0%","2","3.0%","4","100.0%",0,"0.0%","12","92.3%",1,"7.7%","12","92.3%",1,"7.7%","25","89.3%",3,"10.7%","14","82.4%",3,"17.6%","85","78.7%","23","21.3%","8","100.0%","2015","february"
"West Mercia",0,"-",0,"-","206","78.3%","57","21.7%","13","52.0%",12,"48.0%","23","82.1%",5,"17.9%",1,"25.0%",3,"75.0%","164","94.8%","9","5.2%","17","85.0%",3,"15.0%","27","93.1%",2,"6.9%","61","98.4%",1,"1.6%","67","87.0%",10,"13.0%","25","86.2%",4,"13.8%","139","88.5%","18","11.5%","6","100.0%","2015","february"
"West Midlands",0,"0.0%",2,"100.0%","461","75.0%","154","25.0%","41","75.9%",13,"24.1%","79","84.9%",14,"15.1%",42,"76.4%",13,"23.6%","647","91.9%","57","8.1%","35","77.8%",10,"22.2%","88","88.0%",12,"12.0%","216","92.3%",18,"7.7%","137","86.2%",22,"13.8%","132","81.0%",31,"19.0%","310","88.3%","41","11.7%","23","100.0%","2015","february"
"West Yorkshire",4,"100.0%",0,"0.0%","466","78.7%","126","21.3%","42","72.4%",16,"27.6%","78","79.6%",20,"20.4%",24,"100.0%",0,"0.0%","378","92.0%","33","8.0%","22","73.3%",8,"26.7%","104","84.6%",19,"15.4%","116","94.3%",7,"5.7%","115","79.3%",30,"20.7%","52","80.0%",13,"20.0%","302","82.1%","66","17.9%","17","100.0%","2015","february"
"Wiltshire",0,"-",0,"-","108","80.6%","26","19.4%","9","64.3%",5,"35.7%","6","75.0%",2,"25.0%",0,"0.0%",1,"100.0%","94","89.5%","11","10.5%","3","75.0%",1,"25.0%","33","89.2%",4,"10.8%","26","100.0%",0,"0.0%","59","92.2%",5,"7.8%","5","83.3%",1,"16.7%","66","89.2%","8","10.8%","3","100.0%","2015","february"
"National",49,"77.8%",14,"22.2%","9,627","74.8%","3,235","25.2%","859","73.0%",317,"27.0%","1,405","83.2%",283,"16.8%",495,"77.3%",145,"22.7%","9,751","91.2%","938","8.8%","761","84.8%",136,"15.2%","2,489","84.8%",446,"15.2%","4,370","93.7%",293,"6.3%","4,211","85.1%",739,"14.9%","1,934","80.4%",471,"19.6%","8,408","85.4%","1,439","14.6%","904","100.0%","2015","january"
"Avon and Somerset",0,"-",0,"-","262","79.4%","68","20.6%","29","69.0%",13,"31.0%","26","83.9%",5,"16.1%",12,"100.0%",0,"0.0%","290","92.1%","25","7.9%","25","86.2%",4,"13.8%","89","91.8%",8,"8.2%","105","92.9%",8,"7.1%","124","82.7%",26,"17.3%","90","83.3%",18,"16.7%","242","80.4%","59","19.6%","45","100.0%","2015","january"
"Bedfordshire",1,"100.0%",0,"0.0%","105","74.5%","36","25.5%","11","84.6%",2,"15.4%","9","75.0%",3,"25.0%",2,"100.0%",0,"0.0%","110","83.3%","22","16.7%","5","100.0%",0,"0.0%","20","71.4%",8,"28.6%","33","91.7%",3,"8.3%","28","87.5%",4,"12.5%","12","85.7%",2,"14.3%","84","82.4%","18","17.6%","14","100.0%","2015","january"
"Cambridgeshire",0,"-",0,"-","94","88.7%","12","11.3%","6","100.0%",0,"0.0%","2","50.0%",2,"50.0%",1,"16.7%",5,"83.3%","88","92.6%","7","7.4%","5","100.0%",0,"0.0%","21","75.0%",7,"25.0%","48","96.0%",2,"4.0%","32","88.9%",4,"11.1%","6","60.0%",4,"40.0%","64","92.8%","5","7.2%","10","100.0%","2015","january"
"Cheshire",1,"100.0%",0,"0.0%","195","82.6%","41","17.4%","19","90.5%",2,"9.5%","27","96.4%",1,"3.6%",8,"88.9%",1,"11.1%","179","90.4%","19","9.6%","18","72.0%",7,"28.0%","40","93.0%",3,"7.0%","80","95.2%",4,"4.8%","74","87.1%",11,"12.9%","46","83.6%",9,"16.4%","140","89.2%","17","10.8%","11","100.0%","2015","january"
"Cleveland",1,"100.0%",0,"0.0%","130","79.3%","34","20.7%","6","66.7%",3,"33.3%","29","76.3%",9,"23.7%",6,"85.7%",1,"14.3%","283","91.3%","27","8.7%","7","77.8%",2,"22.2%","38","74.5%",13,"25.5%","79","97.5%",2,"2.5%","96","71.1%",39,"28.9%","11","61.1%",7,"38.9%","69","86.3%","11","13.8%","5","100.0%","2015","january"
"Cumbria",0,"0.0%",1,"100.0%","97","86.6%","15","13.4%","9","90.0%",1,"10.0%","7","100.0%",0,"0.0%",0,"0.0%",1,"100.0%","101","91.8%","9","8.2%","11","100.0%",0,"0.0%","32","88.9%",4,"11.1%","37","100.0%",0,"0.0%","35","79.5%",9,"20.5%","58","86.6%",9,"13.4%","102","85.0%","18","15.0%","7","100.0%","2015","january"
"Derbyshire",1,"100.0%",0,"0.0%","153","75.0%","51","25.0%","12","66.7%",6,"33.3%","20","80.0%",5,"20.0%",7,"58.3%",5,"41.7%","157","94.0%","10","6.0%","6","100.0%",0,"0.0%","47","83.9%",9,"16.1%","69","92.0%",6,"8.0%","63","87.5%",9,"12.5%","27","75.0%",9,"25.0%","120","92.3%","10","7.7%","20","100.0%","2015","january"
"Devon and Cornwall",1,"100.0%",0,"0.0%","165","74.3%","57","25.7%","14","87.5%",2,"12.5%","25","89.3%",3,"10.7%",8,"100.0%",0,"0.0%","151","87.3%","22","12.7%","6","100.0%",0,"0.0%","52","88.1%",7,"11.9%","67","97.1%",2,"2.9%","78","81.3%",18,"18.8%","75","86.2%",12,"13.8%","222","91.0%","22","9.0%","15","100.0%","2015","january"
"Dorset",0,"-",0,"-","96","70.6%","40","29.4%","7","77.8%",2,"22.2%","10","66.7%",5,"33.3%",8,"88.9%",1,"11.1%","124","96.9%","4","3.1%","6","100.0%",0,"0.0%","23","82.1%",5,"17.9%","32","97.0%",1,"3.0%","43","91.5%",4,"8.5%","13","100.0%",0,"0.0%","81","87.1%","12","12.9%","8","100.0%","2015","january"
"Durham",1,"100.0%",0,"0.0%","118","77.6%","34","22.4%","7","63.6%",4,"36.4%","22","81.5%",5,"18.5%",3,"75.0%",1,"25.0%","138","86.3%","22","13.8%","12","100.0%",0,"0.0%","55","94.8%",3,"5.2%","28","93.3%",2,"6.7%","55","84.6%",10,"15.4%","8","80.0%",2,"20.0%","100","91.7%","9","8.3%","5","100.0%","2015","january"
"Dyfed Powys",1,"100.0%",0,"0.0%","77","81.1%","18","18.9%","5","62.5%",3,"37.5%","9","90.0%",1,"10.0%",0,"0",0,"0","70","90.9%","7","9.1%","6","75.0%",2,"25.0%","28","80.0%",7,"20.0%","103","97.2%",3,"2.8%","56","90.3%",6,"9.7%","4","100.0%",0,"0.0%","75","87.2%","11","12.8%","4","100.0%","2015","january"
"Essex",2,"100.0%",0,"0.0%","326","79.7%","83","20.3%","32","65.3%",17,"34.7%","44","88.0%",6,"12.0%",7,"53.8%",6,"46.2%","279","94.6%","16","5.4%","23","92.0%",2,"8.0%","55","80.9%",13,"19.1%","89","94.7%",5,"5.3%","97","93.3%",7,"6.7%","38","82.6%",8,"17.4%","231","85.6%","39","14.4%","31","100.0%","2015","january"
"Gloucestershire",1,"100.0%",0,"0.0%","61","79.2%","16","20.8%","4","66.7%",2,"33.3%","12","92.3%",1,"7.7%",0,"0",0,"0","103","92.0%","9","8.0%","8","88.9%",1,"11.1%","23","95.8%",1,"4.2%","38","97.4%",1,"2.6%","30","93.8%",2,"6.3%","20","76.9%",6,"23.1%","58","92.1%","5","7.9%","8","100.0%","2015","january"
"GreaterManchester",4,"100.0%",0,"0.0%","660","78.9%","176","21.1%","56","71.8%",22,"28.2%","83","88.3%",11,"11.7%",17,"89.5%",2,"10.5%","446","92.9%","34","7.1%","59","85.5%",10,"14.5%","148","90.2%",16,"9.8%","165","95.4%",8,"4.6%","290","88.4%",38,"11.6%","66","75.0%",22,"25.0%","420","86.6%","65","13.4%","37","100.0%","2015","january"
"Gwent",3,"100.0%",0,"0.0%","114","79.7%","29","20.3%","7","77.8%",2,"22.2%","17","77.3%",5,"22.7%",3,"60.0%",2,"40.0%","116","94.3%","7","5.7%","8","100.0%",0,"0.0%","44","89.8%",5,"10.2%","58","93.5%",4,"6.5%","62","89.9%",7,"10.1%","2","50.0%",2,"50.0%","86","87.8%","12","12.2%","9","100.0%","2015","january"
